1|BOOT1|I|CMOS 3.3V|
2|VSS|P|0V|Ground
3|VSS|P|0V|Ground
4|SPI1_SCLK|IO|CMOS 3.3V|
5|SPI1_MOSI|IO|CMOS 3.3V|
6|VDD_33|P|3.3V|Supply pads 3.3V
7|SPI1_MISO|IO|CMOS 3.3V|
8|SPI1_SS|IO|CMOS 3.3V|
9|VDD|P|1.2V|Supply core
10|MDC|IO|CMOS 3.3V|
11|MDIO|IO|CMOS 3.3V|
12|VDD_18|P|3.3V|Supply 1.8V
13|ALOS|IO|CMOS 3.3V|
14|VSS|P|0V|Ground
15|VDD1P8|P|1.8V|Supply LVDS 1.8V
16|VSS|P|0V|Ground
17|TXD_P|O|LVDS 1.8V|
18|TXD_N|O|LVDS 1.8V|
19|VDD|P|1.2V|Supply core
20|TCLK_P|O|LVDS 1.8V|
21|TCLK_N|O|LVDS 1.8V|
22|VDD1P8|P|1.8V|Supply LVDS 1.8V
23|RXD_P|I|LVDS 1.8V|
24|RXD_N|I|LVDS 1.8V|
25|VTT|A||Reference voltage
26|VSS|P|0V|Ground
27|VSS|P|0V|Ground
28|VSS|P|0V|Ground
29|VDDO_VCO|PO||VCO LDO output
30|VDDO_PLL|PO||PLL LDO output
31|VDD|P|1.2V|Supply core
32|R_EXT|A||Reference resistor 12.1 kÎ©
33|VDD1P8|P|1.8V|Supply LVDS 1.8V
34|RCLK_N|O|LVDS 1.8V|
35|RCLK_P|O|LVDS 1.8V|
36|VSS|P|0V|Ground
37|VDD_18|P|3.3V|Supply 1.8V
38|XIN|AI|CMOS 1.8V|XTAL pads
39|XOUT|AO|CMOS 1.8V|XTAL pads
40|VSS|P|0V|Ground
41|RST_OUT|O|CMOS 3.3V|
42|RESET|I|CMOS 3.3V|
43|VDD_18|P|1.8V|Supply  1.8V
44|TDO|O|CMOS 3.3V|JTAG
45|VDD|P|1.2V|Supply core
46|TRST|I|CMOS 3.3V|JTAG
47|TCK|I|CMOS 3.3V|JTAG
48|TMS|I|CMOS 3.3V|JTAG
49|VDD_33|P|3.3V|Supply pads 3.3V
50|TDI|I|CMOS 3.3V|JTAG
51|TM|I|CMOS 3.3V|SCAN
52|VSS|P|0V|Ground
53|VSS|P|0V|Ground
54|VDD_33|P|3.3V|Supply pads 3.3V
55|GPIO0|IO|CMOS 3.3V|
56|GPIO1|IO|CMOS 3.3V|
57|VDD|P|1.2V|Supply core
58|GPIO2|IO|CMOS 3.3V|
59|GPIO3|IO|CMOS 3.3V|
60|VDD_18|P|3.3V|Supply  1.8V
61|GPT0|IO|CMOS 3.3V|
62|GPT1|IO|CMOS 3.3V|
63|VSS|P|0V|Ground
64|GPT2|IO|CMOS 3.3V|
65|GPT3|IO|CMOS 3.3V|
66|VDD|P|1.2V|Supply core
67|TDM_RVIT|IO|CMOS 3.3V|
68|TDM_RSYNC|IO|CMOS 3.3V|
69|TDM_RCLK|IO|CMOS 3.3V|
70|TDM_WVIT|IO|CMOS 3.3V|
71|VDD_33|P|3.3V|Supply pads 3.3V
72|TDM_WSYNC|IO|CMOS 3.3V|
73|TDM_WCLK|IO|CMOS 3.3V|
74|I2C_SCL|IO|CMOS 3.3V|
75|I2C_SDA|IO|CMOS 3.3V|
76|UART0_DTR|IO|CMOS 3.3V|
77|VSS|P|0V|Ground
78|VSS|P|0V|Ground
79|VDD|P|1.2V|Supply core
80|UART0_DSR|IO|CMOS 3.3V|
81|UART0_RTS|IO|CMOS 3.3V|
82|VDD_33|P|3.3V|Supply pads 3.3V
83|UART0_CTS|IO|CMOS 3.3V|
84|UART0_TXD|IO|CMOS 3.3V|
85|UART0_RXD|IO|CMOS 3.3V|
86|VDD_18|P|3.3V|Supply  1.8V
87|SPI0_SCLK|IO|CMOS 3.3V|
88|SPI0_MOSI|IO|CMOS 3.3V|
89|VSS|P|0V|Ground
90|SPI0_MISO|IO|CMOS 3.3V|
91|SPI0_SS|IO|CMOS 3.3V|
92|VDD|P|1.2V|Supply core
93|UART3_TXD|IO|CMOS 3.3V|
94|UART3_RXD|IO|CMOS 3.3V|
95|VDD_33|P|3.3V|Supply pads 3.3V
96|UART2_TXD|IO|CMOS 3.3V|
97|UART2_RXD|IO|CMOS 3.3V|
98|UART1_TXD|IO|CMOS 3.3V|
99|UART1_RXD|IO|CMOS 3.3V|
100|BOOT0|IO|CMOS 3.3V|
